"slide_no","chapter","title","duration_min","background_style","purpose_message","text_content","visual_element","color_scheme","speaker_notes","figure_files"
"11","Ch02 資料蒐集","Viral vs Non-viral 的成長軌跡完全不同","0.75","深色全版","直觀展示爆紅與非爆紅影片的成長差異，強化問題動機","看這張圖要注意：
藍/紅曲線在 3h 之前就已明顯分歧
3h 之後差距快速拉大","全版大圖：fig05_growth_curve_examples.png
圖右側：一條垂直虛線標「3h（我們的觀察截止點）」
圖下方一句話：「差距在 3 小時就出現了」（24pt bold）","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「這張圖是 viral 和 non-viral 影片的成長曲線。」
「注意看：在 3 小時這條線左邊，兩條曲線就已經開始分歧了——這就是為什麼 3 小時的資料有預測力。」","figures/fig05_growth_curve_examples.png"
"12","Ch02 資料蒐集","觀看數分布：Shorts 與長影片行為不同","0.5","淺色全版","展示觀看數的長尾分布，說明 Shorts/Long 行為差異","看這張圖要注意：
• 觀看數 x 軸是 log 尺度
• Shorts（粉色）曲線整體右移，中位數較高
• 兩條曲線形狀不同，不能混用同一模型評估","全版大圖：fig02_view_cdf_by_type.png
圖下方一句話：「Shorts 和長影片是兩種完全不同的成長行為」（24pt）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「觀看數的分布非常右偏，x 軸要用 log 尺度才看得清楚。」
「更重要的是：Shorts 和長影片的曲線形狀差很多——這就是為什麼我們的資料切分必須分開處理。」","figures/fig02_view_cdf_by_type.png"
"13","Ch03 資料前處理","Ch03　資料前處理","0.3","章節分隔頁","章節切換","03
資料前處理

清理 ／ 標籤設計 ／ 特徵工程 ／ 留言情緒 ／ 資料切分","章節編號 03 超大字，章節名，副標小字","背景 #343734 | 文字 #EFF1E8","（不說話）",""
"14","Ch03 資料前處理","前處理 Pipeline：六個步驟","0.75","深色全版","給聽眾一張前處理的地圖，後面每張投影片對應一個步驟","六個步驟（左到右箭頭流程）：

① 時序清理
② 標籤生成
③ 特徵工程（Tabular）
④ 留言情緒特徵
⑤ 序列資料建構（LSTM）
⑥ 資料切分","橫向六步驟流程圖，圓圈數字 + 步驟名
箭頭連接，每個步驟方塊等寬","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「前處理分成六個步驟，接下來我們一步一步看。」",""
"15","Ch03 資料前處理","標籤設計：爆紅是相對的，不是絕對的","1.0","淺色全版","說明爆紅門檻的設計邏輯：相對訂閱數，而非絕對觀看數","設計邏輯：
100 萬訂閱的頻道，10 萬觀看不算爆紅
500 訂閱的小頻道，10,000 觀看非常驚人

公式：
effective_sub = max(訂閱數, 1,000)
threshold = max(
    10,000（Shorts）／ 2,000（長影片），
    2 × effective_sub
)
is_viral = views_48h ≥ threshold","公式放在深色圓角框內（code-block 風格）
左側文字說明設計邏輯（2 行對比範例）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「爆紅的定義，我們刻意設計成相對性的。」
「門檻 = 訂閱數的兩倍，但設有最低值。Shorts 至少要 10,000，長影片至少 2,000。」
「這樣對小頻道和大頻道都是公平的標準。」",""
"16","Ch03 資料前處理","病毒率：12.6%，Shorts 略高於長影片","0.5","淺色全版","展示標籤定義後的結果分布","圖上方一句話：「241 支爆紅 ／ 1,916 支總樣本 = 12.6%」（28pt bold）","全版大圖：fig03_viral_rate_by_type.png
圖上方一行標題文字即可","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「套用這個定義後，整體病毒率是 12.6%。Shorts 是 13.8%，長影片是 11.9%，兩者相近——說明我們的定義對兩種影片都有意義。」","figures/fig03_viral_rate_by_type.png"
"17","Ch03 資料前處理","特徵工程：五個群組，逐步疊加","1.0","深色全版","說明 Ablation Study 的特徵群組設計：每組都是前一組的超集","五層階梯（底到頂）：

A　6 個特徵　靜態（訂閱數、影片長度、發布時段、類別…）
B　20 個特徵　+ 早期流量（views_3h、成長率、互動率…）
C1　23 個特徵　+ 留言二元情緒（RoBERTa positive score）
C2　25 個特徵　+ Valence-Arousal（regex 代理指標）
C3　28 個特徵　+ C1 + C2 全部

設計目的：量化每類資訊的邊際貢獻","五層階梯圖，由下往上顏色從淺（#EFF1E8）到深（#343734）
每層標特徵數和新增的關鍵特徵名","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「我們設計了五個特徵群組，每個都是前一個的超集。」
「這讓我們可以做 Ablation Study——測出加入每類資訊後，模型到底進步多少。」",""
"18","Ch03 資料前處理","留言情緒 C1：RoBERTa 二元情感分類","0.75","淺色全版","說明 C1 留言情緒特徵的建構方式","模型：uer/roberta-base-finetuned-jd-binary-chinese

流程：
取 0–3h 留言快照
→ 每則留言推論 positive 分數
→ 影片層級彙整：
   comment_sentiment_score（平均正向分數）
   top_comment_like_ratio（高讚留言正向比）
   comment_count_3h（留言數）

覆蓋率：642 支影片（34%），其餘填 0","推論流程：留言→模型→分數→彙整
右側：覆蓋率圓餅圖（34% vs 66%）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「Group C1 用 HuggingFace 的中文情緒模型對每則留言評分，再彙整到影片層級。」
「只有 34% 的影片有留言資料，沒有的填 0。」",""
"19","Ch03 資料前處理","留言情緒 C2：Valence-Arousal 不需要模型","0.75","淺色全版","說明 C2 的設計：用 regex 代理喚醒度，輕量但有效","Valence（情感極性）：直接用 C1 的 positive score

Arousal（喚醒度，regex 代理）：
驚嘆號密度　comment_exclamation_ratio
emoji 密度　comment_emoji_ratio
強烈詞彙比例　comment_intense_ratio

新增特徵：comment_valence_mean
          comment_arousal_mean

優點：不需要額外模型，速度快，覆蓋率同 C1","左欄：Valence 來源（指向 C1）
右欄：Arousal 三個 regex 指標
底部：「高 Arousal = 觀眾情緒激動 → 更可能分享」","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「Group C2 是 Valence-Arousal 的代理指標。Valence 直接用 C1 的情緒分數，Arousal 用驚嘆號、emoji、強烈詞彙的密度來估計。」
「這個做法不需要額外推論，但等一下我們會看到它的效果意外地好。」",""
"20","Ch03 資料前處理","直接時序切分：測試集幾乎全是 Shorts","0.75","深色全版","說明評估偏差的根本問題，為下一張的解法做鋪陳","問題：
Shorts 是後期才補爬的，時序上集中近期

直接時序切分的結果：
Train　→　幾乎全是長影片
Test　→　幾乎全是 Shorts

等於：在長影片上訓練，在 Shorts 上評估
結果：毫無意義","時間軸：左側（早期）大量長影片圖示，右側（近期）大量 Shorts 圖示
垂直切割線標出 train/test 邊界
箭頭加 ✗ 標注問題","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「如果直接對所有影片做時序切分，會有一個嚴重的偏差。」
「Shorts 是我們後期才大量補爬的，在時序上集中在近期，所以 test set 裡幾乎全是 Shorts。等於模型在長影片上學習，卻在 Shorts 上被評估——這樣的結果沒有意義。」",""
"21","Ch03 資料前處理","解法：Shorts 和長影片各自分組切分","0.75","淺色全版","說明分組時序切分的設計與結果","做法：
Shorts 按 publish_time 排序 → 各自切 70/15/15
Long　按 publish_time 排序 → 各自切 70/15/15
→ 合併

結果：
每個 split Shorts 比例維持 ~34%
Train=1,133 / Valid=380 / Test=403","右側大圖：fig01_data_split_balance.png（堆疊長條，顯示每個 split 的 Shorts/Long 均衡）
左側：做法說明（箭頭流程）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「解法是分組切分：Shorts 和長影片各自排序、各自切 70/15/15，再合併。」
「每個 split 的 Shorts 比例都維持在 34% 左右，評估才公平。」","figures/fig01_data_split_balance.png"
"22","Ch04 模型設計","Ch04　模型設計","0.3","章節分隔頁","章節切換","04
模型設計

Logistic ／ LightGBM ／ LSTM ／ Stacking","章節編號 04 超大字，章節名，副標小字","背景 #343734 | 文字 #EFF1E8","（不說話）",""
"23","Ch04 模型設計","四種模型各自的角色","0.75","深色全版","給聽眾一張模型全覽，說明為何要用這四種","四個模型（2×2 卡片）：

Logistic Regression
角色：可解釋基準線，吃 Tabular 特徵
跑群組：A / B / C1

LightGBM
角色：主力模型，跑完所有 Ablation 群組
跑群組：A / B / C1 / C2 / C3

LSTM
角色：純序列模型，不使用靜態特徵
輸入：T×3 時序序列（0–3h）

Stacking
角色：融合 LightGBM + LSTM 的 meta-learner","四個圓角卡片，2×2 排列
每卡標題 + 角色 + 跑的群組","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「我們比較四種模型。Logistic 是基準線，LightGBM 是主力，LSTM 純粹吃時序序列，Stacking 把前兩者融合。」",""
"24","Ch04 模型設計","LightGBM：5-Fold OOF 同時服務 Ablation 和 Stacking","0.75","淺色全版","說明 LightGBM 的 OOF 設計：一次訓練，兩個用途","5-Fold Out-of-Fold（OOF）設計：

用途一：Ablation Study
每個群組（A/B/C1/C2/C3）獨立訓練
比較 test set F1 / AUC

用途二：Stacking 的輸入
OOF 預測機率 P₁ 輸入 meta-learner
（模型從未在 in-sample 資料上預測過自己）

超參數：num_leaves=63, lr=0.05, rounds=500","流程圖：5 個 fold → OOF → （Ablation 比較 ／ Stacking P₁）
兩個用途分叉箭頭","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「LightGBM 用 5-Fold OOF，同時服務兩件事：一是 Ablation Study，二是給 Stacking 提供 OOF 機率作為輸入。」
「OOF 的關鍵是：每筆預測都是在模型沒見過這筆資料時做出的，不會洩漏。」",""
"25","Ch04 模型設計","LSTM：T×3 序列，捕捉早期動態","0.5","深色全版","說明 LSTM 的輸入格式與設計","輸入格式：T × 3 序列
T ≈ 18–36 個時間步（每 5–10 分鐘一筆）
3 個維度：view_count / like_count / comment_count
正規化：每個維度除以該影片窗口內的最大值

架構：hidden=64, layers=2, dropout=0.3
損失函數：BCELoss + pos_weight（處理不平衡）","左側：T×3 矩陣示意圖（橫軸 3 特徵，縱軸時間步）
右側：LSTM 方塊圖（輸入→隱藏層→輸出）","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「LSTM 讀取 0–3 小時的時序序列。每個時間步有觀看、按讚、留言三個維度，共約 18 到 36 步。」
「LSTM 沒有訂閱數等靜態特徵，純粹靠行為序列預測。」",""
"26","Ch04 模型設計","Stacking：OOF 防洩漏設計","0.75","淺色全版","說明 Stacking 架構與為何 OOF 能防止洩漏","Stacking 流程：

LightGBM（5-Fold OOF）→ P₁（train 上的 OOF 機率）
LSTM（5-Fold OOF）→ P₂
[P₁, P₂] → Logistic Regression（meta-learner）→ 最終機率

防洩漏保證：
• P₁ / P₂ 都是 OOF 預測，meta 從未見過 in-sample
• meta-learner 只在 OOF 上訓練，不在 test set 上訓練
• Scaler fit on train only","流程圖：LightGBM OOF → P₁
         LSTM OOF → P₂
         [P₁,P₂] → Logistic → 最終
防洩漏保證用虛線框框起來並加說明","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「Stacking 把 LightGBM 和 LSTM 的 OOF 機率拼在一起，用 Logistic Regression 當 meta-learner。」
「關鍵是防洩漏：meta 只在 OOF 預測上訓練，test set 從頭到尾只在最終評估時出現一次。」",""
"27","Ch05 分類實驗結果","Ch05　分類實驗結果","0.3","章節分隔頁","章節切換","05
分類實驗結果

Ablation ／ SHAP ／ 留言情緒 ／ 完整成績","章節編號 05 超大字，章節名，副標小字","背景 #343734 | 文字 #EFF1E8","（不說話）",""
"28","Ch05 分類結果","Ablation：五個群組的 F1 與 AUC","0.5","深色全版","讓聽眾先看完整的 Ablation 結果圖，再聚焦關鍵跳躍","看這張圖要注意：A → B 之間的跳躍幅度","全版大圖：fig13_ablation_classification.png
圖下方一句話：「A → B 是全部群組中最大的跳躍」（24pt）","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「這是所有特徵群組的 Ablation 結果。先讓大家看完整圖，然後我們聚焦在最關鍵的地方。」","figures/fig13_ablation_classification.png"
"29","Ch05 分類結果","加入早期流量：F1 從 0.327 跳到 0.731","1.0","深色全版","視覺衝擊：早期流量特徵帶來的巨幅提升","0.327　→　0.731
（+124%）

AUC：0.733 → 0.937（+27.8%）

結論：靜態特徵不夠，早期行為才是關鍵信號","頁面主體：兩個超大數字（0.327 灰色，0.731 白色 bold）+ 箭頭 + +124%
底部兩行結論文字（28pt）","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「Group A 到 Group B，F1 從 0.327 跳到 0.731，提升了 124%。」
「這告訴我們：訂閱數、影片長度這些靜態特徵不足以預測爆紅，關鍵是影片在前 3 小時的早期反應速度。」",""
"30","Ch05 分類結果","為什麼早期流量有效：Viral 在 3h 就已領先","0.5","淺色全版","用 boxplot 直觀支撐「早期流量有效」的論點","看這張圖要注意：
Viral 的 views_3h 中位數 = 1,312
Non-viral 的 views_3h 中位數 = 184
差距：7 倍","全版大圖：fig07_views3h_vs_viral.png
圖下方：「Viral 在第 3 小時的觀看數中位數是 Non-viral 的 7 倍」（24pt bold）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「為什麼早期流量有預測力？這張圖給了答案。Viral 影片在 3 小時的觀看數中位數是 1,312，Non-viral 只有 184——7 倍差距，在第 3 小時就已經出現了。」","figures/fig07_views3h_vs_viral.png"
"31","Ch05 分類結果","SHAP 特徵重要性：哪些特徵最關鍵？","0.5","深色全版","展示 SHAP 特徵重要性排名，引出下一張的訂閱數主導說明","看這張圖要注意：
第一名和第二名之間的巨大差距","全版大圖：fig06_shap_importance.png
圖下方：「第一名和第二名之間有一條鴻溝」（24pt）","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「我們用 SHAP 分析 LightGBM 的特徵重要性。先看圖，注意第一名和第二名之間的距離——」","figures/fig06_shap_importance.png"
"32","Ch05 分類結果","log_subscriber_count SHAP = 第二名的 2.7 倍","0.75","深色全版","量化說明 SHAP 的核心洞見：訂閱數主導，但早期行為不可或缺","#1　log_subscriber_count　SHAP = 2.109
#2　views_3h　　　　　　　SHAP = 0.770
#3　view_delta_1h_3h　　　SHAP = 0.683

第一名是第二名的 2.7 倍

解讀：受眾規模是爆紅的基礎
但 #2、#3 是早期流量——光有受眾不夠，
影片本身也必須在 3 小時內引起反應","三個 Top 特徵垂直排列：#1 大字（88pt），#2 中字（56pt），#3 小字（36pt）
底部解讀框","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「訂閱數的 SHAP 值是 2.109，第二名 views_3h 是 0.770，差了 2.7 倍。」
「直覺上合理：大頻道天生有受眾。但第二、第三名都是早期流量指標，說明光有受眾不夠——影片本身也必須快速引起反應。」",""
"33","Ch05 分類結果","留言情緒的效益：C2 Precision 提升最顯著","0.75","淺色全版","量化留言情緒特徵的邊際貢獻，找出最有效的群組","特徵組　　F1　　Precision　　AUC
B（基準）　0.731　73.1%　　　0.937
C1　　　　0.752　+4.4%　　　0.943
C2 ★　　　0.763　+9.1% → 82%  0.934
C3　　　　0.740　+4.0%　　　0.939

結論：C2（喚醒度 regex）比 C1（RoBERTa）效果更明顯","表格為主視覺，C2 行整行高亮（深底色）
底部結論一句話","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「加入留言情緒後，C2 的 Precision 從 73% 提升到 82%，提升了 12%。」
「有趣的是：C2 不需要模型——只用 regex 計算驚嘆號和 emoji 密度，效果卻比 RoBERTa 的 C1 更好。」",""
"34","Ch05 分類結果","Valence-Arousal：高喚醒留言集中在 Viral 影片","0.5","淺色全版","視覺支撐留言情緒有效的論點","看這張圖要注意：
右上象限（高 Valence + 高 Arousal）裡 Viral 比例明顯偏高","全版大圖：fig17_comment_valence_arousal.png
圖下方：「高 Valence + 高 Arousal 的影片，爆紅比例顯著較高」（24pt）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「這張散布圖是留言的 Valence 和 Arousal 分布。右上角——高 Valence 加高 Arousal——viral 影片的比例明顯高。」
「觀眾越興奮、情緒越強烈，影片越可能爆紅。」","figures/fig17_comment_valence_arousal.png"
"35","Ch05 分類結果","完整分類成績：所有模型對比","0.75","深色全版","完整呈現 test set 成績，讓聽眾可以比較所有模型","模型　　　　群組　F1　　AUC　　PR-AUC
Logistic　　 A　　0.283　0.643　0.209
Logistic　　 B　　0.520　0.905　0.649
Logistic　　 C1　 0.528　0.907　0.650
LightGBM　　A　　0.327　0.733　0.280
LightGBM　　B　　0.731　0.937　0.800
LightGBM★　C1　 0.752　0.943　0.818
LightGBM★　C2　 0.763　0.934　0.809
LightGBM　　C3　 0.740　0.939　0.832
LSTM　　　　B　　0.257　0.590　0.146
Stacking　　B　　0.674　0.919　0.783","完整表格為主視覺，LightGBM C1/C2 行加底色高亮
LSTM 行淡化（字色 60%）","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「完整成績表。LightGBM C2 的 F1 最高 0.763，C1 的 AUC 最高 0.943。」
「LSTM 的 F1 只有 0.257——序列模型沒有訂閱數這個最強特徵，上限很有限。」",""
"36","Ch05 分類結果","ROC 曲線：LightGBM 顯著領先","0.5","淺色全版","用 ROC 圖直觀比較各模型的區分能力","看這張圖：LightGBM 系列緊貼左上角
LSTM 曲線最低，接近隨機","全版大圖：fig09_roc_curves.png
圖下方：「LightGBM AUC=0.943，LSTM AUC=0.590」（24pt）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「ROC 曲線也印證了這個結論。LightGBM 緊貼左上角，LSTM 接近隨機——在這個任務上，靜態特徵比時序序列更重要。」","figures/fig09_roc_curves.png"
"37","Ch05 分類結果","PR 曲線：不平衡資料下的真實表現","0.5","深色全版","補充 ROC 的不足：病毒率只有 12.6%，PR 曲線更能反映真實效果","看這張圖：random baseline 只有 0.126（不是 0.5）
LightGBM C3 PR-AUC = 0.832（是 random 的 6.6 倍）","全版大圖：fig10_pr_curves.png
圖下方：「Random baseline PR-AUC = 12.6%，LightGBM 達到 0.832」（24pt）","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「PR 曲線在不平衡資料下比 ROC 更嚴格。病毒率 12.6%，隨機猜測的 PR-AUC 只有 0.126。」
「LightGBM 的 PR-AUC 是 0.832，是隨機的 6.6 倍。」","figures/fig10_pr_curves.png"
"38","Ch05 分類結果","Confusion Matrix：模型在哪裡犯錯？","0.5","淺色全版","分析預測錯誤的類型，最貴的錯誤是漏判爆紅","看這張圖：False Negative（漏抓的爆紅影片）是最值得關注的
在病毒率只有 12.6% 的情況下，漏判代表錯過真正的爆紅","全版大圖：fig11_confusion_matrix_lgbm.png
圖下方：「False Negative = 漏抓爆紅，是最昂貴的錯誤」（24pt）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「混淆矩陣告訴我們模型在哪裡犯錯。最值得注意的是 False Negative——實際爆紅但模型沒抓到。」
「在只有 12.6% 爆紅率的情況下，漏判就是錯過真正有價值的影片。」","figures/fig11_confusion_matrix_lgbm.png"
"39","Ch06 迴歸實驗結果","Ch06　迴歸實驗結果","0.3","章節分隔頁","章節切換","06
迴歸實驗結果

R²=0.853 ／ 預測 vs 實際 ／ 殘差分析","章節編號 06 超大字，章節名，副標小字","背景 #343734 | 文字 #EFF1E8","（不說話）",""
"40","Ch06 迴歸結果","迴歸成績：R²=0.853，LightGBM 優於 LSTM","0.75","深色全版","呈現迴歸任務的成績表，說明 MAE 的實際意義","模型　　　　群組　R²　　 MAE　　RMSE
LightGBM　　B　　0.851　0.841　1.172
LightGBM★　C1　 0.853　0.835　1.162
LSTM　　　　B　　0.705　1.137　1.610

MAE 0.835（log 尺度）≈ 實際觀看數誤差約 ×2.3 倍

應用：創作者在發布 48 小時後，可預估接下來 24h 的成長量","成績表為主視覺，LightGBM C1 行高亮
底部應用場景說明框（圓角，獨立方塊）","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「迴歸的最佳結果是 LightGBM C1，R²=0.853，MAE=0.835。」
「MAE 是 log 尺度的誤差，換算回實際觀看數，大約是 2.3 倍的誤差範圍。」",""
"41","Ch06 迴歸結果","預測 vs 實際：點越貼近對角線代表越準","0.5","淺色全版","直觀呈現迴歸效果，散點圖讓聽眾馬上理解 R² 的意義","看這張圖：大部分點貼近對角線（完美預測線）
Shorts（粉色）和 Long（藍色）都有良好預測","全版大圖：fig14_reg_pred_vs_actual.png
圖下方：「點越貼近虛線對角線，代表預測越準確」（24pt）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「這張散點圖是 LightGBM C1 在 test set 上的預測 vs 實際值。大部分點都緊貼對角線，Shorts 和長影片都預測得不錯。」","figures/fig14_reg_pred_vs_actual.png"
